FileName, Type, Correct, Partially, Missing, Spurious, Recall, Precision, F1
Tong-hop-danh-gia-ve-iPad-score.xml_0014B,Strict,33,13,22,6,0.4852941176470588,0.6346153846153846,0.5499999999999999
Toshiba-Qosmio-X500-giai-tri-manh-me-score.xml_0014E,Strict,46,18,27,5,0.5054945054945055,0.6666666666666666,0.5750000000000001
Touch-3G-hau-due-cua-thien-than-score.xml_00151,Strict,130,18,25,19,0.7514450867052023,0.7784431137724551,0.7647058823529412
TouchSmart-tx2-score.xml_00154,Strict,147,33,31,33,0.6966824644549763,0.6901408450704225,0.6933962264150944
Trai-nghiem-Windows-8-tren-laptop-score.xml_00157,Strict,56,5,18,10,0.7088607594936709,0.7887323943661971,0.7466666666666666
Tren-tay-may-tinh-bang-100-USD-XO-3-score.xml_0015A,Strict,52,16,25,7,0.5591397849462365,0.6933333333333334,0.6190476190476191
Zen-X-Fi-tai-tao-am-thanh-score.xml_0015D,Strict,155,30,53,8,0.6512605042016807,0.8031088082901554,0.7192575406032482
Micro,Strict,8702,1949,3472,1056,0.5948218713043161, 0.7205870757507368,0.6493469842274426
Macro,Strict,8702,1949,3472,1056,0.616158040076471,0.7433159648073802,0.6737901664730933


Acer-4745-laptop-Core-i3-hap-dan-score.xml_00019,Average,40,11,13,5,0.7109375,0.8125,0.7583333333333333
Acer-Timeline-X-mong-ma-khoe-score.xml_0001C,Average,32,17,11,3,0.675,0.7788461538461539,0.7232142857142857
Anh-hung-HTC-Hero-score.xml_0001F,Average,154,21,61,21,0.6970338983050848,0.8392857142857143,0.761574074074074
Aspire-3935---hoi-tho-moi-cua-Acer-score.xml_00022,Average,130,30,37,23,0.7360406091370558,0.7923497267759563,0.7631578947368421
Asus-Eee-PC-1000HE-score.xml_00025,Average,130,27,28,16,0.7756756756756756,0.8294797687861272,0.8016759776536313
Asus-P552w-mang-phong-cach-Touch-score.xml_00028,Average,115,11,26,7,0.7927631578947368,0.9060150375939849,0.8456140350877194
Asus-UX30-dep-nhung-chua-khoe-score.xml_0002B,Average,117,34,64,14,0.6232558139534884,0.8121212121212121,0.7052631578947368
Asus-W90---laptop-vo-doi-cho-game-thu-score.xml_0002E,Average,176,31,115,13,0.59472049689441,0.8704545454545455,0.7066420664206642
BlackBerry-Curve-8900-score.xml_00031,Average,145,13,42,6,0.7575,0.9237804878048781,0.8324175824175825
Cai-nhin-so-bo-ve-Renoir-score.xml_00034,Average,81,12,32,12,0.696,0.8285714285714286,0.7565217391304347
Cam-nhan-ban-dau-ve-HTC-Magic-score.xml_00037,Average,85,11,18,9,0.793859649122807,0.861904761904762,0.8264840182648403
Canon-HG10-score.xml_0003A,Average,124,15,25,15,0.801829268292683,0.8538961038961039,0.8270440251572327
Canon-IXUS-870-IS-day-hua-hen-score.xml_0003D,Average,142,26,65,12,0.6652360515021459,0.8611111111111112,0.7506053268765134
Chuyen-gia-giai-tri-Lenovo-IdeaPad-Y530-score.xml_00040,Average,176,45,102,7,0.6145510835913313,0.8706140350877193,0.720508166969147
Compaq-CQ60-re-nhu-netbook-score.xml_00043,Average,78,16,31,18,0.688,0.7678571428571429,0.7257383966244725
Danh-gia-Acer-AS4738-score.xml_00046,Average,30,10,23,1,0.5555555555555556,0.8536585365853658,0.673076923076923
Danh-gia-Acer-Iconia-Tab-A500-score.xml_00049,Average,27,18,14,3,0.6101694915254238,0.75,0.6728971962616822
Danh-gia-Acer-Iconia-Tab-W501-score.xml_0004C,Average,32,13,15,3,0.6416666666666667,0.8020833333333334,0.7129629629629629
Danh-gia-ampli-NuForce-Icon-HDP-score.xml_0004F,Average,22,4,21,3,0.5106382978723404,0.8275862068965517,0.631578947368421
Danh-gia-Asus-K43E-score.xml_00052,Average,41,21,26,4,0.5852272727272727,0.7803030303030303,0.6688311688311688
Danh-gia-Asus-Zenbook-UX21E-score.xml_00055,Average,47,15,17,3,0.689873417721519,0.8384615384615385,0.7569444444444444
Danh-gia-BlackBerry-Bold-9790-score.xml_00058,Average,23,18,27,1,0.47058823529411764,0.7619047619047619,0.5818181818181817
Danh-gia-BlackBerry-Tour-score.xml_0005B,Average,146,40,58,6,0.680327868852459,0.8645833333333334,0.7614678899082569
Danh-gia-Canon-EOS-60D-score.xml_0005E,Average,49,7,22,10,0.6730769230769231,0.7954545454545454,0.7291666666666666
Danh-gia-Canon-Legria-HF-S200-score.xml_00061,Average,20,22,19,2,0.5081967213114754,0.7045454545454546,0.5904761904761906
Danh-gia-dau-dia-than-Clearaudio-Concept-score.xml_00064,Average,28,8,11,3,0.6808510638297872,0.8205128205128205,0.7441860465116279
Danh-gia-Dell-Vostro-3400-score.xml_00067,Average,23,14,20,1,0.5263157894736842,0.7894736842105263,0.631578947368421
Danh-gia-Dell-Vostro-V130-score.xml_0006A,Average,40,12,22,3,0.6216216216216216,0.8363636363636363,0.7131782945736433
Danh-gia-Dell-XPS-15z-score.xml_0006D,Average,31,10,16,1,0.631578947368421,0.8571428571428571,0.7272727272727273
Danh-gia-Galaxy-Tab-7-Plus-score.xml_00070,Average,53,18,13,6,0.7380952380952381,0.8051948051948052,0.7701863354037267
Danh-gia-HP-EliteBook-2530p-score.xml_00073,Average,39,10,21,3,0.6285714285714286,0.8461538461538461,0.721311475409836
Danh-gia-HTC-Flyer-score.xml_00076,Average,53,27,36,9,0.5732758620689655,0.7471910112359551,0.6487804878048782
Danh-gia-HTC-HD-Mini-score.xml_00079,Average,43,18,27,2,0.5909090909090909,0.8253968253968254,0.6887417218543046
Danh-gia-HTC-Sensation-score.xml_0007C,Average,65,23,46,3,0.5708955223880597,0.8406593406593407,0.68
Danh-gia-HTC-Sensation-XL-score.xml_0007F,Average,57,25,34,1,0.5991379310344828,0.8373493975903614,0.6984924623115577
Danh-gia-HTC-Wildfire-S-score.xml_00082,Average,35,13,12,4,0.6916666666666667,0.7980769230769231,0.7410714285714285
Danh-gia-Huawei-IDEOS-X5-score.xml_00085,Average,34,16,17,5,0.6268656716417911,0.7636363636363637,0.6885245901639345
Danh-gia-LG-Cookie-Camera-score.xml_00088,Average,27,12,7,2,0.717391304347826,0.8048780487804879,0.7586206896551724
Danh-gia-LG-Optimus-2X-score.xml_0008B,Average,58,17,53,3,0.51953125,0.8525641025641025,0.645631067961165
Danh-gia-LG-Optimus-Me-P350-score.xml_0008E,Average,62,29,34,4,0.612,0.8052631578947368,0.6954545454545454
Danh-gia-LG-Optimus-One-score.xml_00091,Average,56,19,13,5,0.7443181818181818,0.81875,0.7797619047619048
Danh-gia-LG-Optimus-Pro-C660-score.xml_00094,Average,49,19,19,8,0.6724137931034483,0.7697368421052632,0.7177914110429447
Danh-gia-may-anh-Samsung-ST700-score.xml_00097,Average,53,16,11,0,0.7625,0.8840579710144928,0.8187919463087248
Danh-gia-may-chieu-Optoma-HD20LV-score.xml_0009A,Average,43,7,10,7,0.775,0.8157894736842105,0.7948717948717949
Danh-gia-Nikon-P7000-score.xml_0009D,Average,89,33,69,5,0.5523560209424084,0.8307086614173228,0.6635220125786163
Danh-gia-Nokia-E6-score.xml_000A0,Average,60,20,18,5,0.7142857142857143,0.8235294117647058,0.7650273224043717
Danh-gia-Nokia-N9-score.xml_000A3,Average,53,14,29,0,0.625,0.8955223880597015,0.736196319018405
Danh-gia-Nokia-X3-Touch-and-Type-score.xml_000A6,Average,39,14,6,2,0.7796610169491526,0.8363636363636363,0.8070175438596492
