Giày dép bé trai	ID=393	Left=564	Right=565
Kính nam	ID=395	Left=546	Right=547
Kính nữ	ID=396	Left=554	Right=555
Kính unisex	ID=397	Left=552	Right=553
Gọng kính	ID=398	Left=550	Right=551
Mắt kính	ID=399	Left=548	Right=549
Kính thuốc	ID=400	Left=534	Right=541
Kính thuốc nữ	ID=402	Left=535	Right=536
Kính thuốc nam	ID=403	Left=537	Right=538
Dụng cụ vệ sinh kính	ID=405	Left=544	Right=545
Tóc giả	ID=407	Left=694	Right=695
Găng tay	ID=410	Left=678	Right=679
Tất chân	ID=411	Left=680	Right=681
Phụ kiện tóc	ID=412	Left=688	Right=689
Kẹp cài cà vạt	ID=413	Left=690	Right=691
Tất quần	ID=414	Left=684	Right=685
Khăn tay	ID=415	Left=686	Right=687
Khuy măng séc	ID=416	Left=696	Right=697
Nguyên liệu trang sức	ID=417	Left=96	Right=127
Kim cương nhân tạo	ID=419	Left=101	Right=102
Đá	ID=421	Left=120	Right=121
Kim loại	ID=422	Left=124	Right=125
Pha lê	ID=423	Left=122	Right=123
Thạch anh	ID=424	Left=108	Right=109
Chất dẻo nhựa	ID=425	Left=106	Right=107
Gỗ	ID=427	Left=110	Right=111
Hổ phách	ID=428	Left=116	Right=117
Thủy tinh	ID=429	Left=114	Right=115
Kim cương tự nhiên	ID=431	Left=99	Right=100
Ngọc trai	ID=432	Left=97	Right=98
Trang phục dân tộc	ID=433	Left=82	Right=95
Áo dài nữ	ID=434	Left=83	Right=84
Áo dài nam	ID=435	Left=85	Right=86
Trang phục dân tộc khác	ID=436	Left=87	Right=88
Áo tứ thân	ID=437	Left=89	Right=90
Áo dài trẻ em	ID=438	Left=91	Right=92
Áo bà ba	ID=439	Left=93	Right=94
Nguyên liệu thời trang	ID=440	Left=72	Right=81
Vải	ID=441	Left=73	Right=74
Len chỉ	ID=442	Left=75	Right=76
Khuy cúc	ID=444	Left=79	Right=80
Quần áo	ID=445	Left=670	Right=671
Phụ kiện	ID=447	Left=674	Right=675
Trang phục chú rể	ID=449	Left=708	Right=709
Phụ trang cô dâu	ID=450	Left=706	Right=707
Bé gái thiên thần	ID=452	Left=702	Right=703
Bé trai thiên thần	ID=453	Left=700	Right=701
Pin laptop	ID=454	Left=754	Right=755
AC Adapter (Bộ nguồn)	ID=455	Left=752	Right=753
Bàn phím laptop	ID=456	Left=750	Right=751
HDD 2.5inch (Ổ cứng laptop )	ID=458	Left=746	Right=747
Đế tản nhiệt laptop	ID=459	Left=744	Right=745
Display (màn hình Laptop)	ID=460	Left=742	Right=743
RAM (laptop)	ID=461	Left=740	Right=741
Các linh kiện khác của laptop	ID=462	Left=738	Right=739
Đồ chơi laptop	ID=463	Left=736	Right=737
Ổ quang laptop	ID=464	Left=732	Right=733
Mainboard laptop	ID=465	Left=734	Right=735
Giá đỡ laptop	ID=466	Left=728	Right=729
Khóa chống trộm laptop	ID=467	Left=730	Right=731
Đèn laptop	ID=468	Left=724	Right=725
CPU laptop	ID=469	Left=726	Right=727
Kệ máy tính xách tay	ID=470	Left=720	Right=721
Ổ rắn (SSD)	ID=471	Left=722	Right=723
FDD (Ổ đĩa mềm)	ID=472	Left=718	Right=719
Mainboard	ID=474	Left=829	Right=830
Video Card	ID=475	Left=831	Right=832
RAM (Desktop)	ID=476	Left=825	Right=826
CPU Desktop	ID=477	Left=827	Right=828
Nguồn điện (PSU)	ID=479	Left=823	Right=824
Các linh kiện khác (máy tính)	ID=480	Left=841	Right=842
Các thiết bị tản nhiệt	ID=481	Left=839	Right=840
Sound Card	ID=483	Left=843	Right=844
CPU Cooler	ID=484	Left=835	Right=836
TV card	ID=485	Left=833	Right=834
PCMCIA Card	ID=486	Left=837	Right=838
Thiết bị mạng	ID=487	Left=848	Right=921
Access point (Wifi)	ID=489	Left=889	Right=890
Modems	ID=490	Left=895	Right=896
Tủ mạng	ID=491	Left=893	Right=894
USB 3G	ID=492	Left=883	Right=884
Wifi Card	ID=493	Left=881	Right=882
Router	ID=494	Left=887	Right=888
Phụ kiện mạng	ID=496	Left=873	Right=874
Dây mạng	ID=497	Left=875	Right=876
Antenna Wifi	ID=498	Left=877	Right=878
Hạt mạng (Conector)	ID=500	Left=865	Right=866
Kìm bấm cáp	ID=501	Left=867	Right=868
Bộ chuyển đổi quang điện	ID=502	Left=869	Right=870
Cáp quang	ID=504	Left=857	Right=858
Usb wifi adapter	ID=505	Left=859	Right=860
Dây nhảy quang	ID=506	Left=861	Right=862
Rack mount	ID=509	Left=851	Right=852
Modem quang	ID=510	Left=853	Right=854
PLC Adapter	ID=511	Left=855	Right=856
Bộ chuyển đổi giao thức	ID=512	Left=905	Right=906
Bộ thích ứng điện lực	ID=513	Left=907	Right=908
Máy hàn cáp quang KTS	ID=514	Left=909	Right=910
Máy trạm và thiết bị cuối	ID=515	Left=911	Right=912
Măng xông quang	ID=516	Left=897	Right=898
Dây hàn quang	ID=517	Left=899	Right=900
Bộ chuyển đổi giao diện	ID=518	Left=901	Right=902
Bộ phận máy trạm	ID=519	Left=903	Right=904
Mainframes	ID=520	Left=913	Right=914
Máy đo công suất quang	ID=521	Left=915	Right=916
Máy đo kiểm tra lỗi cáp quang	ID=522	Left=917	Right=918
NetStation	ID=523	Left=919	Right=920
